10	Preparatory systems
15-05-90/150	Pile and cantilever support underpinning system	15-05-90
15-05-90/160	Pile and needle underpinning system	15-05-90
15-05-90/170	Raking pile underpinning system	15-05-90
15-65	General structural frame systems	15
15-65-75	Structural framing systems	15-65
15-65-75/135	Heavy steel framing system	15-65-75
15-65-75/140	In situ reinforced concrete framing system	15-65-75
15-65-75/145	Light steel framing system	15-65-75
15-65-75/160	Precast concrete framing system	15-65-75
15-65-75/185	Timber framing system	15-65-75
15-65-75/305	Product samples	15-65-75
20	Roof, floor and paving systems
20-00	Pitched, arched and domed roof structure systems	20
20-00-75	Roof structure systems	20-00
20-00-75/135	Heavy steel framed roof structure system	20-00-75
20-00-75/137	Heavy steel space frame system	20-00-75
20-00-75/139	Heavy steel space truss system	20-00-75
20-00-75/140	Light steel framed roof structure system	20-00-75
20-00-75/150	Masonry roof structure system	20-00-75
20-00-75/175	Sprayed concrete framed roof structure system	20-00-75
20-00-75/185	Timber framed roof structure system	20-00-75
20-00-75/305	Product samples	20-00-75
20-05	Flat roof, floor & balcony structure systems	20
20-05-80	Structural deck systems	20-05
20-05-80/110	Composite concrete floor, roof deck or balcony system	20-05-80
20-05-80/115	Composite steel and concrete floor, roof deck or balcony system	20-05-80
20-05-80/130	Glazed unit floor or roof deck system	20-05-80
20-05-80/140	Heavy steel floor, roof or balcony decking system	20-05-80
20-05-80/145	In situ reinforced concrete floor, roof deck or balcony system	20-05-80
20-05-80/150	Light steel floor, roof deck or balcony framing system	20-05-80
20-05-80/160	Precast concrete beam and block floor or roof deck system	20-05-80
20-05-80/165	Precast concrete floor or roof deck system	20-05-80
20-05-80/190	Timber floor, roof deck or balcony decking system	20-05-80
20-05-80/305	Product samples	20-05-80
20-05-95	Water retention sheet lining systems	20-05
20-05-95/110	Ground supported water retention sheet lining system	20-05-95
20-05-95/120	Structure supported water retention sheet lining system	20-05-95
20-10	Ceiling and soffit structure systems	20
20-10-10	Board ceiling systems	20-10
20-10-10/110	Board suspended ceiling system	20-10-10
20-10-10/305	Product samples	20-10-10
20-10-20	Demountable suspended ceiling systems	20-10
20-10-20/130	Fabric membrane ceiling system	20-10-20
20-10-20/190	Unit suspended ceiling system	20-10-20
20-10-20/305	Product samples	20-10-20
20-15	Paving and hardstanding systems	20
20-15-05	Asphalt paving systems	20-15
20-15-05/105	Asphalt concrete light duty paving system	20-15-05
20-15-05/110	Asphalt concrete paving system	20-15-05
20-15-05/130	Existing pavement surface overlay system	20-15-05
20-15-05/135	Hot rolled asphalt paving system	20-15-05
20-15-05/140	Hot rolled asphalt sports paving system	20-15-05
20-15-05/150	Mastic asphalt light duty paving system	20-15-05
20-15-05/165	Porous asphalt concrete paving system	20-15-05
20-15-05/170	Porous asphalt concrete sports paving system	20-15-05
20-15-05/175	Stone mastic asphalt paving system	20-15-05
20-15-05/305	Product samples	20-15-05
20-15-25	External deck and boardwalk systems	20-15
20-15-25/110	Boardwalk system	20-15-25
20-15-25/125	Deck system	20-15-25
20-15-25/130	Footbridge system	20-15-25
20-15-25/305	Product samples	20-15-25
20-15-35	Granular and resin-bound aggregate paving systems	20-15
20-15-35/110	Blinded gravel paving system	20-15-35
20-15-35/115	Cycle paving system	20-15-35
20-15-35/120	Fine hoggin pavement system	20-15-35
20-15-35/125	Hard binding gravel paving system	20-15-35
20-15-35/130	Loose laid chippings paving system	20-15-35
20-15-35/135	Loose gravel pavement system	20-15-35
20-15-35/140	Multi-purpose equestrian paving system	20-15-35
20-15-35/145	Woodchip and woodfibre surface paving system	20-15-35
20-15-35/150	Woodchip and stone trim trail paving system	20-15-35
20-15-35/155	Resin-bonded chippings pavement system	20-15-35
20-15-35/160	Resin-bound aggregate light duty paving system	20-15-35
20-15-35/165	Resin-bound chippings vehicular paving system	20-15-35
20-15-35/170	Fibre-reinforced resin-bound chippings overlay system	20-15-35
20-15-35/175	Loose gravel overlay system	20-15-35
20-15-35/180	Resin-bound chippings overlay system	20-15-35
20-15-35/185	Slurry surfacing overlay system	20-15-35
20-15-35/190	Paving maintenance system	20-15-35
20-15-35/310	Product samples	20-15-35
20-15-45	In situ concrete road and paving systems	20-15
20-15-45/110	In situ concrete grass-filled paving system	20-15-45
20-15-45/120	In situ concrete paving system	20-15-45
20-15-45/130	In situ concrete porous paving system	20-15-45
20-15-45/305	Product samples	20-15-45
20-15-90	Unit paving systems	20-15
20-15-90/120	Flag and slab bound paving system	20-15-90
20-15-90/125	Flag and slab paving overlay system	20-15-90
20-15-90/130	Flag and slab pedestal-supported paving system	20-15-90
20-15-90/135	Flag and slab unbound (flexible) paving system	20-15-90
20-15-90/138	Mosaic paving system	20-15-90
20-15-90/140	Small unit mortar-bedded paving system	20-15-90
20-15-90/145	Small unit paving overlay system	20-15-90
20-15-90/150	Small unit unbound (flexible) paving system	20-15-90
20-15-90/155	Cellular plastics grass-filled paving system	20-15-90
20-15-90/160	Cellular plastics gravel-filled paving system	20-15-90
20-15-90/165	Permeable flag and slab paving system	20-15-90
20-15-90/170	Permeable small unit paving system	20-15-90
20-15-90/175	Precast concrete grass-filled paving system	20-15-90
20-15-90/180	Precast concrete and gravel-filled paving system	20-15-90
20-15-90/305	Product samples	20-15-90
20-25	Roof opening systems	20
20-25-75	Roof light, roof window and roof ventilator systems	20-25
20-25-75/120	Daylight pipe system	20-25-75
20-25-75/165	Passive roof ventilator system	20-25-75
20-25-75/170	Rooflight system	20-25-75
20-25-75/180	Roof window system	20-25-75
20-25-75/305	Product samples	20-25-75
20-50	Roof and balcony covering and finish systems	20
20-50-05	Board roof systems	20-50
20-50-05/130	Flat board roof deck system	20-50-05
20-50-05/160	Pitched board roof sarking system	20-50-05
20-50-30	Flat roof covering systems	20-50
20-50-30/130	Liquid applied cold roof covering system	20-50-30
20-50-30/135	Liquid applied inverted roof covering system	20-50-30
20-50-30/140	Liquid applied warm roof covering system	20-50-30
20-50-30/145	Mastic asphalt cold roof covering system	20-50-30
20-50-30/150	Mastic asphalt inverted roof covering system	20-50-30
20-50-30/155	Mastic asphalt warm roof covering system	20-50-30
20-50-30/160	Single layer cold roof covering system	20-50-30
20-50-30/165	Single layer inverted roof covering system	20-50-30
20-50-30/170	Single layer warm roof covering system	20-50-30
20-50-30/175	Reinforced bitumen membrane cold roof covering system	20-50-30
20-50-30/180	Reinforced bitumen membrane inverted roof covering system	20-50-30
20-50-30/185	Reinforced bitumen membrane warm roof covering system	20-50-30
20-50-50	Metal sheet roof and dormer covering systems	20-50
20-50-50/105	Aluminium sheet dormer covering system	20-50-50
20-50-50/110	Aluminium sheet roof covering system	20-50-50
20-50-50/115	Copper sheet dormer covering system	20-50-50
20-50-50/120	Copper sheet roof covering system	20-50-50
20-50-50/125	Lead sheet dormer covering system	20-50-50
20-50-50/130	Lead sheet roof covering system	20-50-50
20-50-50/135	Lead-wrapped panel system	20-50-50
20-50-50/140	Stainless steel sheet dormer covering system	20-50-50
20-50-50/145	Stainless steel sheet roof covering system	20-50-50
20-50-50/150	Zinc sheet dormer covering system	20-50-50
20-50-50/155	Zinc sheet roof covering system	20-50-50
20-50-50/305	Product samples	20-50-50
20-50-55	Metal composite panel roof systems	20-50
20-50-55/150	Metal composite panel roofing system	20-50-55
20-50-55/155	Metal semi-composite panel roofing system	20-50-55
20-50-55/305	Product samples	20-50-55
20-50-60	Profiled sheet roof covering systems	20-50
20-50-60/130	Fibre cement profiled sheet roof covering system	20-50-60
20-50-60/150	Metal profiled sheet roof covering system	20-50-60
20-50-60/160	Plastics profiled sheet roof covering system	20-50-60
20-50-60/305	Product samples	20-50-60
20-50-70	Sloping patent glazing systems	20-50
20-50-70/175	Sloping patent glazing system	20-50-70
20-50-70/305	Product samples	20-50-70
20-50-75	Structural glass roof systems	20-50
20-50-75/110	Point-fixed structural glass canopy system	20-50-75
20-50-75/120	Point-fixed structural glass roof system	20-50-75
20-50-75/130	Point-fixed structural glass soffit system	20-50-75
20-50-75/305	Product samples	20-50-75
20-50-85	Tensile fabric covering systems	20-50
20-50-85/110	Internal single layer tensile fabric covering system	20-50-85
20-50-85/120	Multilayer tensile fabric covering system	20-50-85
20-50-85/130	Single layer tensile fabric covering system	20-50-85
20-50-85/310	Product samples	20-50-85
20-50-85/320	Fixing samples	20-50-85
20-50-90	Thatch roofing systems	20-50
20-50-90/185	Thatch roofing system	20-50-90
20-50-95	Unit roofing systems	20-50
20-50-95/110	Bitumen membrane shingle roofing system	20-50-95
20-50-95/115	Ceramic slate roofing system	20-50-95
20-50-95/130	Fibre cement slate roofing system	20-50-95
20-50-95/140	Interlocking tile roofing system	20-50-95
20-50-95/150	Metal tile roofing system	20-50-95
20-50-95/155	Natural slate roofing system	20-50-95
20-50-95/160	Natural stone slate roofing system	20-50-95
20-50-95/165	Plain tile roofing system	20-50-95
20-50-95/170	Reconstituted slate roofing system	20-50-95
20-50-95/195	Wood shake or shingle roofing system	20-50-95
20-50-95/305	Product samples	20-50-95
20-55	Floor covering and finish systems	20
20-55-05	Board floor systems	20-55
20-55-05/110	Battened timber board floating floor system	20-55-05
20-55-05/115	Battened wood-based rigid sheet floating floor system	20-55-05
20-55-05/145	Joist-supported timber board floor system	20-55-05
20-55-05/150	Joist-supported wood-based rigid sheet floor system	20-55-05
20-55-05/195	Wood-based rigid sheet floating floor system	20-55-05
20-55-05/305	Product samples	20-55-05
20-55-10	Calcium sulfate-based screed systems	20-55
20-55-10/110	Bonded calcium sulfate-based screed system	20-55-10
20-55-10/130	Floating calcium sulfate-based screed system	20-55-10
20-55-10/190	Unbonded calcium sulfate-based screed system	20-55-10
20-55-15	Cementitious screed systems	20-55
20-55-15/110	Bonded or partially bonded cementitious levelling screed system	20-55-15
20-55-15/115	Cementitious wearing screed system	20-55-15
20-55-15/130	Floating cementitious levelling screed system	20-55-15
20-55-15/190	Unbonded cementitious levelling screed system	20-55-15
20-55-25	Edge fixed carpeting systems	20-55
20-55-25/125	Edge-fixed carpeting system	20-55-25
20-55-25/305	Product samples	20-55-25
20-55-35	Floor tiling systems	20-55
20-55-35/130	External floor tiling system	20-55-35
20-55-35/140	Internal floor tiling system	20-55-35
20-55-35/305	Product samples	20-55-35
20-55-55	Mastic asphalt flooring and floor underlay systems	20-55
20-55-55/150	Mastic asphalt flooring system	20-55-55
20-55-55/155	Mastic asphalt floor underlay system	20-55-55
20-55-70	Raised access floor systems	20-55
20-55-70/170	Raised access floor system	20-55-70
20-55-70/305	Product samples	20-55-70
20-55-75	Resilient and textile adhesive fixed floor covering systems	20-55
20-55-75/110	Carpet tile system	20-55-75
20-55-75/165	Resilient sheet flooring system	20-55-75
20-55-75/170	Resilient tile flooring system	20-55-75
20-55-75/175	Rolled carpet system	20-55-75
20-55-75/180	Stair carpeting system	20-55-75
20-55-75/305	Product samples	20-55-75
20-55-77	Resin flooring systems	20-55
20-55-77/170	Resin flooring system	20-55-77
20-55-85	Terrazzo floor tiling and in situ terrazzo systems	20-55
20-55-85/185	Terrazzo floor covering system	20-55-85
20-55-85/305	Product samples	20-55-85
20-55-90	Wood and composite unit flooring systems	20-55
20-55-90/115	Composition block flooring system	20-55-90
20-55-90/150	Mosaic parquet panel flooring system	20-55-90
20-55-90/195	Wood block flooring system	20-55-90
20-55-90/305	Product samples	20-55-90
20-55-95	Wood strip and board fine flooring systems	20-55
20-55-95/110	Battened wood floating floor system	20-55-95
20-55-95/120	Direct-fixed wood floor system	20-55-95
20-55-95/125	Direct-glued wood floor system	20-55-95
20-55-95/195	Wood floating floor system	20-55-95
20-55-95/305	Product samples	20-55-95
20-70	Roof and balcony accessory systems	20
20-70-50	Metal sheet gutter lining systems	20-70
20-70-50/110	Aluminium sheet gutter lining system	20-70-50
20-70-50/120	Copper sheet gutter lining system	20-70-50
20-70-50/130	Lead sheet gutter lining system	20-70-50
20-70-50/140	Stainless steel sheet gutter lining system	20-70-50
20-70-50/150	Zinc sheet gutter lining system	20-70-50
20-70-50/305	Product samples	20-70-50
20-75	Floor accessory systems	20
20-75-30	Floor damp-proofing systems	20-75
20-75-30/110	Cementitious proprietary mortar slurry floor damp-proofing system	20-75-30
20-75-30/115	Cold-applied liquid floor damp-proofing system	20-75-30
20-75-30/130	Fully-bonded bitumen membrane overslab damp-proofing system	20-75-30
20-75-30/135	Fully-bonded bitumen membrane underslab damp-proofing system	20-75-30
20-75-30/140	Hot-applied liquid floor damp-proofing system	20-75-30
20-75-30/145	Loose-laid bitumen membrane overslab damp-proofing system	20-75-30
20-75-30/146	Loose-laid bitumen membrane underslab damp-proofing system	20-75-30
20-75-30/150	Loose-laid plastics studded membrane floor damp-proofing system	20-75-30
20-75-30/151	Loose-laid polyethylene membrane oversite damp-proofing system	20-75-30
20-75-30/152	Loose-laid polyethylene membrane overslab damp-proofing system	20-75-30
20-75-30/153	Loose-laid polyethylene membrane underslab damp-proofing system	20-75-30
20-75-30/155	Mastic asphalt floor damp-proofing system	20-75-30
20-75-30/165	Pre-applied anchored membrane underslab damp-proofing system	20-75-30
20-75-30/175	Self-adhesive bitumen membrane floor damp-proofing system	20-75-30
20-85	Paving and hardstanding accessory systems	20
20-85-45	Kerb and channel systems	20-85
20-85-45/120	Demarcation paving system	20-85-45
20-85-45/130	Footway grating system	20-85-45
20-85-45/145	Light duty kerb system	20-85-45
20-85-45/150	Multi unit surface drainage channel system	20-85-45
20-85-45/155	Multi unit traffic calming system	20-85-45
20-85-45/175	Single unit surface drainage channel system	20-85-45
20-85-45/180	Single unit traffic calming system	20-85-45
20-85-45/185	Traffic kerb system	20-85-45
20-85-45/305	Product samples	20-85-45
25	Wall and barrier systems
25-05	Structural (unframed) panel wall systems	25
25-05-60	Panel cubicle systems	25-05
25-05-60/130	Fully-framed panel cubicle system	25-05-60
25-05-60/160	Panel cubicle system	25-05-60
25-05-60/165	Privacy screen system	25-05-60
25-05-60/305	Product samples	25-05-60
25-05-65	Panel partition systems	25-05
25-05-65/110	Panel partition system	25-05-65
25-05-65/120	Media wall partition system	25-05-65
25-05-65/130	Storage wall partition system	25-05-65
25-05-65/305	Product samples	25-05-65
25-05-75	Structural glass wall systems	25-05
25-05-75/110	Point-fixed structural glass wall system	25-05-75
25-05-75/120	Stacked structural glass wall system	25-05-75
25-05-75/130	Suspended structural glass wall system	25-05-75
25-05-75/305	Product samples	25-05-75
25-10	Unit wall systems	25
25-10-40	Glass block wall systems	25-10
25-10-40/140	In situ glass block wall system	25-10-40
25-10-40/150	Prefabricated glass block wall system	25-10-40
25-10-40/305	Product samples	25-10-40
25-10-55	Masonry wall systems	25-10
25-10-55/110	Single leaf wall below damp proof course masonry system	25-10-55
25-10-55/111	Single leaf masonry damp proof course system	25-10-55
25-10-55/112	Single leaf wall above damp proof course masonry system	25-10-55
25-10-55/113	Single leaf parapet wall masonry system	25-10-55
25-10-55/114	Single leaf freestanding wall above damp proof course masonry system	25-10-55
25-10-55/120	Multiple leaf wall below damp proof course masonry system	25-10-55
25-10-55/121	Multiple leaf masonry damp proof course system	25-10-55
25-10-55/122	Internal multiple leaf wall above damp proof course masonry system	25-10-55
25-10-55/123	External multiple leaf wall above damp proof course masonry system	25-10-55
25-10-55/124	Multiple leaf masonry parapet wall system	25-10-55
25-10-55/125	Multiple leaf freestanding wall above damp proof course masonry system	25-10-55
25-10-55/130	Chimney stack masonry system	25-10-55
25-10-55/131	External above ground exposed wall element masonry system	25-10-55
25-10-55/305	Product samples	25-10-55
25-15	Framed wall systems	25
25-15-25	Framed partition systems	25-15
25-15-25/135	Gypsum board partition system	25-15-25
25-15-25/170	Rigid sheet partition system	25-15-25
25-15-25/305	Product samples	25-15-25
25-15-35	Framed wall structure systems	25-15
25-15-35/135	Heavy steel framed wall structure system	25-15-35
25-15-35/140	In situ reinforced concrete wall structure system	25-15-35
25-15-35/145	Light steel framed wall structure system	25-15-35
25-15-35/160	Precast concrete wall system	25-15-35
25-15-35/175	Sprayed concrete wall structure system	25-15-35
25-15-35/185	Timber framed wall structure system	25-15-35
25-15-35/305	Product samples	25-15-35
25-20	Fence systems	25
25-20-30	Fencing systems	25-20
25-20-30/101	Carbon steel continuous bar fencing system	25-20-30
25-20-30/103	Composite post and rail fencing system	25-20-30
25-20-30/105	Metal post and rail fencing system	25-20-30
25-20-30/107	Precast concrete post and rail fencing system	25-20-30
25-20-30/109	Wooden post and rail fencing system	25-20-30
25-20-30/111	Composite board or palisade fencing system	25-20-30
25-20-30/113	Precast concrete palisade fencing system	25-20-30
25-20-30/115	Wood close boarded fencing system	25-20-30
25-20-30/117	Wood palisade fencing system	25-20-30
25-20-30/121	Composite wire fencing system	25-20-30
25-20-30/123	Dropper pattern strained wire fencing system	25-20-30
25-20-30/125	Electric fencing system	25-20-30
25-20-30/127	Electric security fencing system	25-20-30
25-20-30/129	General pattern strained wire fencing system	25-20-30
25-20-30/131	Rope or chain fencing system	25-20-30
25-20-30/133	Chain link fencing system	25-20-30
25-20-30/135	Cleft chestnut pale fencing system	25-20-30
25-20-30/137	Composite continuous mesh fencing system	25-20-30
25-20-30/139	General pattern wire mesh fencing system	25-20-30
25-20-30/141	Spring steel and high tensile wire mesh fencing system	25-20-30
25-20-30/143	Composite post and panel fencing system	25-20-30
25-20-30/145	Metal mesh panel fencing system	25-20-30
25-20-30/147	Metal vertical pale fencing system	25-20-30
25-20-30/149	Multi use games fencing system	25-20-30
25-20-30/151	Natural hurdle fencing system	25-20-30
25-20-30/153	Precast concrete post and panel fencing system	25-20-30
25-20-30/155	Prefabricated wood or plastics panel fencing system	25-20-30
25-20-30/157	Steel hurdle fencing system	25-20-30
25-20-30/159	Steel palisade panel fencing system	25-20-30
25-20-30/161	Steel vertical bar fencing system	25-20-30
25-20-30/163	Wrought iron panel fencing system	25-20-30
25-20-30/190	Fencing maintenance system	25-20-30
25-20-30/310	Product samples	25-20-30
25-25	Fixed pedestrian barrier systems	25
25-25-10	Balustrade and handrail systems	25-25
25-25-10/110	Balustrade and guarding system	25-25-10
25-25-10/135	Handrail system	25-25-10
25-25-10/305	Product samples	25-25-10
25-25-60	Pedestrian barrier and guarding systems	25-25
25-25-60/105	Composite pedestrian parapet system	25-25-60
25-25-60/110	Composite post and rail barrier system	25-25-60
25-25-60/115	Composite post and panel barrier system	25-25-60
25-25-60/120	Concrete post and rail barrier system	25-25-60
25-25-60/130	Metal hoop barrier system	25-25-60
25-25-60/135	Metal modular barrier system	25-25-60
25-25-60/140	Metal post and mesh panel barrier system	25-25-60
25-25-60/145	Metal pedestrian parapet system	25-25-60
25-25-60/150	Metal post and panel barrier system	25-25-60
25-25-60/155	Metal post and rail barrier system	25-25-60
25-25-60/160	Metal vertical bar pedestrian guard rail system	25-25-60
25-25-60/170	Post and wire barrier system	25-25-60
25-25-60/180	Wood post and panel barrier system	25-25-60
25-25-60/185	Wood post and rail barrier system	25-25-60
25-25-60/190	Barrier maintenance system	25-25-60
25-25-60/305	Product samples	25-25-60
25-50	Door and window systems	25
25-50-20	Door, shutter and hatch systems	25-50
25-50-20/120	Doorset system	25-50-20
25-50-20/125	Frame and door leaf system	25-50-20
25-50-20/130	Frameless glass door system	25-50-20
25-50-20/135	Hatch system	25-50-20
25-50-20/145	Industrial doorset system	25-50-20
25-50-20/150	Loading bay system	25-50-20
25-50-20/170	Revolving doorset system	25-50-20
25-50-20/175	Sliding doorset system	25-50-20
25-50-20/180	Sliding folding doorset system	25-50-20
25-50-20/185	Sliding stacking panel partition system	25-50-20
25-50-20/305	Product samples	25-50-20
25-50-95	Window systems	25-50
25-50-95/125	External window system	25-50-95
25-50-95/140	Internal window system	25-50-95
25-50-95/305	Product samples	25-50-95
25-55	'Other' wall opening systems	25
25-55-45	Louvre and shading systems	25-55
25-55-45/110	Facade aligned brise-soleil system	25-55-45
25-55-45/130	Projecting brise-soleil system	25-55-45
25-55-45/150	Louvre screen system	25-55-45
25-55-45/170	Panellized louvre screen system	25-55-45
25-55-45/305	Product samples	25-55-45
25-60	Gate systems	25
25-60-35	Gate systems	25-60
25-60-35/105	Folding gate system	25-60-35
25-60-35/109	Hinged gate system	25-60-35
25-60-35/115	Sliding gate system	25-60-35
25-60-35/120	Chicane system	25-60-35
25-60-35/125	Animal gate system	25-60-35
25-60-35/130	In-line inhibitor system	25-60-35
25-60-35/135	Kissing gate system	25-60-35
25-60-35/140	Stile system	25-60-35
25-60-35/145	Turnstile system	25-60-35
25-70	Operable traffic barrier systems	25
25-70-05	Vehicular access control systems	25-70
25-70-05/105	Animal grid system	25-70-05
25-70-05/115	Heavy duty sliding barrier system	25-70-05
25-70-05/120	Height restrictor system	25-70-05
25-70-05/125	Horizontal swing gate system	25-70-05
25-70-05/130	Hydraulic ramp system	25-70-05
25-70-05/145	Movable bollard system	25-70-05
25-70-05/160	Rising arm barrier system	25-70-05
25-70-05/165	Rising bollard system	25-70-05
25-70-05/180	Vehicle flow plate system	25-70-05
25-70-05/185	Vehicle stop system	25-70-05
25-80	External wall  covering and finish systems	25
25-80-15	Curtain walling systems	25-80
25-80-15/175	Stick curtain walling system	25-80-15
25-80-15/190	Unitized curtain walling system	25-80-15
25-80-15/305	Product samples	25-80-15
25-80-50	Metal sheet cladding systems	25-80
25-80-50/105	Aluminium sheet cladding system	25-80-50
25-80-50/115	Copper sheet cladding system	25-80-50
25-80-50/145	Lead sheet cladding system	25-80-50
25-80-50/150	Lead-wrapped panel cladding system	25-80-50
25-80-50/175	Stainless steel sheet cladding system	25-80-50
25-80-50/195	Zinc sheet cladding system	25-80-50
25-80-50/305	Product samples	25-80-50
25-80-52	Metal composite panel cladding systems	25-80
25-80-52/150	Metal composite panel cladding system	25-80-52
25-80-52/155	Metal semi-composite panel cladding system	25-80-52
25-80-52/305	Product samples	25-80-52
25-80-55	Natural stone slab cladding and lining systems	25-80
25-80-55/155	Natural stone cladding system	25-80-55
25-80-55/160	Natural stone internal lining system	25-80-55
25-80-55/305	Product samples	25-80-55
25-80-68	Profiled sheet cladding systems	25-80
25-80-68/130	Fibre cement profiled sheet cladding system	25-80-68
25-80-68/150	Metal profiled sheet cladding system	25-80-68
25-80-68/160	Plastics profiled sheet cladding system	25-80-68
25-80-68/305	Product samples	25-80-68
25-80-70	Rainscreen cladding systems	25-80
25-80-70/120	Drained and back-ventilated rainscreen cladding system	25-80-70
25-80-70/160	Pressure equalized rainscreen cladding system	25-80-70
25-80-70/305	Product samples	25-80-70
25-80-72	Render and roughcast coating systems	25-80
25-80-72/150	Multicoat render system	25-80-72
25-80-72/160	One coat render system	25-80-72
25-80-72/185	Tiling and mosaic mortar substrate system	25-80-72
25-80-72/305	Product samples	25-80-72
25-80-72/336	Factory mixed rendering mortar (performance)	25-80-72
25-80-76	Rigid sheet cladding systems	25-80
25-80-76/170	Rigid sheet cladding system	25-80-76
25-80-76/305	Product samples	25-80-76
25-80-78	Sprayed external monolithic coating systems	25-80
25-80-78/175	Sprayed external monolithic coating system	25-80-78
25-80-79	External wall insulation systems	25-80
25-80-79/110	Adhesive fixed external wall insulation system	25-80-79
25-80-79/120	Rail fixed external wall insulation system	25-80-79
25-80-79/130	Insulated plinth system	25-80-79
25-80-90	Unit cladding systems	25-80
25-80-90/115	Clay plain tile cladding system	25-80-90
