
B	COMPLETE BUILDINGS/ STRUCTURES/ UNITS
B15/10	INFORMATION TO BE PROVIDED WITH TENDER	B15
B15/110	TIMBER FRAMED	B15
B15/120	TIMBER FRAMED	B15
B15/130	LIGHT GAUGE STEEL FRAME	B15
B15/140	PRECAST CONCRETE FRAME	B15
B15/210	CONTRACTOR'S DESIGN	B15
B15/212	STRUCTURAL DESIGN PROVIDED	B15
B15/225	ACOUSTIC PERFORMANCE – DWELLINGS	B15
B15/230	ACOUSTIC PERFORMANCE – SCHOOLS	B15
B15/235	ACOUSTIC PERFORMANCE	B15
B15/240	THERMAL INSULATION	B15
B15/245	DURABILITY	B15
B15/250	WATER PENETRATION	B15
B15/255	INTERSTITIAL CONDENSATION	B15
B15/260	SURFACE CONDENSATION	B15
B15/262	IMPACT RESISTANCE OF NON-LOADBEARING VERTICAL SURFACES	B15
B15/265	ADDITIONAL SECURITY	B15
B15/270	BREEAM	B15
B15/280	CODE FOR SUSTAINABLE HOMES	B15
B15/510	INFORMATION FROM MANUFACTURER	B15
B15/710	TRANSPORTATION	B15
B15/720	DELIVERY	B15
B15/730	STORAGE	B15
B15/740	SUPPORTING STRUCTURE	B15
B15/750	ERECTION	B15
B15/760	ASSEMBLY	B15
B15/770	ACCURACY OF ERECTION	B15
B15/910	DOCUMENTATION	B15
B50	GENERAL STRUCTURAL REQUIREMENTS	B
B50/10	INFORMATION TO BE PROVIDED WITH TENDER	B50
B50/110	EUROCODES	B50
B50/120	STRUCTURAL WORK	B50
B50/130	CONTRACTOR'S DESIGN	B50
B50/140	CONTRACTOR'S DESIGN - ADDITIONAL REQUIREMENTS FOR GEOTECHNICAL WORK	B50
B50/15	INFORMATION TO BE PROVIDED AT TIME OF TENDER	B50
B50/150	GROUND INVESTIGATION REPORT	B50
B50/160	GEOTECHNICAL DESIGN REPORT	B50
B50/210	CONSEQUENCE FOR LOCALIZED FAILURE FROM AN UNSPECIFIED CAUSE	B50
B50/220	EXPOSURE TO FIRE	B50
B50/230	PERFORMANCE CRITERIA FOR STRUCTURE TO BE SUPPORTED	B50
B50/240	PERFORMANCE CRITERIA FOR RETAINING STRUCTURES	B50
B50/250	LIMITS ON MOVEMENT GENERATED BY CONSTRUCTION	B50
B50/260	LATERAL MOVEMENT OF EMBEDDED RETAINING WALLS DURING EXCAVATION AND CONSTRUCTION	B50
B50/270	LIMITS ON GROUND MOVEMENT	B50
B50/280	SETTLEMENT OF EXISTING STRUCTURES	B50
B50/290	LATERAL DISPLACEMENT OF EXISTING STRUCTURES	B50
B50/300	VIBRATION OF EXISTING STRUCTURES	B50
B50/310	DAMAGE TO EXISTING STRUCTURES AND SERVICES	B50
B50/320	LOADS/ ACTIONS	B50
B50/330	DESIGN LOADS	B50
B50/340	PERMANENT AND IMPOSED LOADS	B50
B50/350	DEAD AND IMPOSED LOADS	B50
B50/360	LOADING FOR MECHANICAL AND ELECTRICAL SERVICES	B50
B50/370	LOADING FOR RELOCATABLE PARTITIONS	B50
B50/380	LOADS IN ROOF AND CEILING VOIDS	B50
B50/390	IMPOSED LOADS ON PARAPETS AND BARRIERS	B50
B50/400	ACTIONS ON NON-LOADBEARING	B50
B50/410	DATA FOR CLIMATIC LOADS/ ACTIONS	B50
B50/420	SNOW LOADS	B50
B50/430	SNOW LOADS - CONTRACTOR DETERMINED	B50
B50/440	ICE LOADS/ ACTIONS	B50
B50/450	WIND PRESSURES	B50
B50/460	WIND LOADS/ ACTIONS	B50
B50/470	WIND LOADS/ ACTIONS - CONTRACTOR DETERMINED	B50
B50/480	WIND LOADS/ ACTIONS - ADDITIONAL REQUIREMENTS FOR FAÇADE RETENTION	B50
B50/490	THERMAL ACTIONS	B50
B50/500	IMPACT FORCES	B50
B50/504	IMPACT RESISTANCE OF VERTICAL CLADDING	B50
B50/506	IMPACT RESISTANCE OF VERTICAL	B50
B50/510	ACCIDENTAL LOADING OF FAÇADE/ FAÇADE RETENTION STRUCTURE	B50
B50/520	FOUNDATION - LOADS	B50
B50/530	EARTH RETAINING LOADS	B50
B50/540	EARTH RETAINING LOADS - CONTRACTOR DETERMINED	B50
B50/550	VEHICLE SURCHARGE LOADS	B50
B50/560	DIAPHRAGM ACTION	B50
B50/700	EXECUTION GENERALLY	B50
B50/705	CONNECTIONS AND ANCHORAGES	B50
B50/710	GEOTECHNICAL WORK	B50
B50/720	STABILITY DURING EXECUTION	B50
B50/730	RESTRICTIONS ON USE OF GROUND SURFACE BEHIND EARTH RETAINING STRUCTURES	B50
B50/740	CONDITION SURVEY OF EXISTING BUILDINGS AND STRUCTURES	B50
B50/750	MONITORING OF GROUND CONDITIONS DURING CONSTRUCTION	B50
B50/760	MONITORING OF EXISTING BUILDINGS/ STRUCTURES	B50
B50/770	MOVEMENT MONITORING	B50
B50/780	CRACK MONITORING OF EXISTING BUILDINGS/ STRUCTURES	B50
B50/790	FREQUENCY OF MONITORING	B50
B50/900	GEOTECHNICAL RECORDS	B50
B51	GENERAL STRUCTURAL REQUIREMENTS - LANDSCAPE	B
B51/110	EUROCODES	B51
B51/120	STRUCTURAL WORK	B51
B51/130	CONTRACTOR'S DESIGN	B51
B51/140	CONTRACTOR'S DESIGN - ADDITIONAL REQUIREMENTS FOR GEOTECHNICAL WORK	B51
B51/15	INFORMATION TO BE PROVIDED AT TIME OF TENDER	B51
B51/150	GROUND INVESTIGATION REPORT	B51
B51/160	GEOTECHNICAL DESIGN REPORT	B51
B51/220	EXPOSURE TO FIRE	B51
B51/230	PERFORMANCE CRITERIA FOR STRUCTURE TO BE SUPPORTED	B51
B51/250	LIMITS ON MOVEMENT GENERATED BY CONSTRUCTION	B51
B51/280	SETTLEMENT OF EXISTING STRUCTURES	B51
B51/320	LOADS/ ACTIONS	B51
B51/330	DESIGN LOADS	B51
B51/410	DATA FOR CLIMATIC LOADS/ ACTIONS	B51
B51/430	SNOW LOADS - CONTRACTOR DETERMINED	B51
B51/470	WIND LOADS/ ACTIONS - CONTRACTOR DETERMINED	B51
B51/500	IMPACT FORCES	B51
B51/520	FOUNDATION - LOADS	B51
B51/540	EARTH RETAINING LOADS - CONTRACTOR DETERMINED	B51
B51/700	EXECUTION GENERALLY	B51
B51/705	CONNECTIONS AND ANCHORAGES	B51
B51/710	GEOTECHNICAL WORK	B51
B51/730	RESTRICTIONS ON USE OF GROUND SURFACE BEHIND EARTH RETAINING STRUCTURES	B51
B51/740	CONDITION SURVEY AND MONITORING OF EXISTING BUILDINGS AND STRUCTURES	B51
B51/750	MONITORING OF GROUND CONDITIONS DURING CONSTRUCTION	B51
B51/900	GEOTECHNICAL RECORDS	B51
B91	BUILDINGS IN THE LANDSCAPE	B
B91/105	PROPRIETARY SMALL BUILDINGS/ STRUCTURES	B91
B91/110	DESIGNED/ BESPOKE SMALL BUILDINGS/ STRUCTURES	B91
B91/215	CONTRACTOR'S DESIGN	B91
B91/217	STRUCTURAL DESIGN PROVIDED	B91
B91/220	DURABILITY	B91
B91/230	IMPACT RESISTANCE OF NON-LOADBEARING VERTICAL SURFACES	B91
B91/240	WATER PENETRATION	B91
B91/310	BANDSTAND	B91
B91/315	BIRD HIDE	B91
B91/320	BUS SHELTER	B91
B91/325	CAGE	B91
B91/330	CANOPY	B91
B91/335	COVERED WALKWAY	B91
B91/340	CYCLE SHELTER	B91
B91/345	GREENHOUSE/ GLASSHOUSE	B91
B91/350	KIOSK	B91
B91/355	MOTORCYCLE SHELTER	B91
B91/360	OUTDOOR CLASSROOM	B91
B91/365	PAVILION/ GAZEBO	B91
B91/370	PERGOLA/ ARBOUR	B91
B91/375	POLYTUNNEL	B91
B91/380	SHED	B91
B91/385	SHELTER	B91
B91/390	SMOKING SHELTER	B91
B91/395	STORAGE UNIT	B91
B91/400	SUMMER HOUSE	B91
B91/405	TELEPHONE BOOTH	B91
B91/410	TOILET UNIT	B91
B91/415	TROLLEY SHELTER	B91
B91/420	WAITING SHELTER	B91
B91/425	YOUTH SHELTER	B91
B91/430	ALUMINIUM	B91
B91/435	CAST IRON	B91
B91/440	WROUGHT IRON	B91
B91/445	METAL PROFILE	B91
B91/450	STAINLESS STEEL	B91
B91/455	PLYWOOD	B91
B91/460	TIMBER CLADDING	B91
B91/465	WOOD COMPOSITES	B91
B91/470	PLASTICS AND COMPOSITE MATERIALS	B91
B91/475	GLASS	B91
B91/480	GLAZING PLASTICS	B91
B91/485	TENSILE FABRIC PERFORMANCE	B91
B91/486	TENSILE FABRIC	B91
B91/490	CLAY TILE	B91
B91/491	CONCRETE TILE	B91
B91/492	FIBRE CEMENT SLATE	B91
B91/493	NATURAL SLATE	B91
B91/494	WOOD SHINGLE	B91
B91/600	ERECTION/ INSTALLATION GENERALLY	B91
B91/605	JOINTING/ FIXING GENERALLY	B91
B91/610	CONCRETE FOUNDATIONS GENERALLY	B91
B91/615	SETTING COMPONENTS IN EARTH	B91
B91/620	BUILDING IN TO MASONRY WALLS	B91
B91/625	ELECTRICAL AND DATA SERVICES	B91
B91/630	ERECTION OF PREFABRICATED BUILDINGS/ STRUCTURES	B91
B91/635	INSTALLATION OF TIMBER FLOORING/SURFACING	B91
B91/637	ERECTION OF TENSILE FABRIC ROOFS	B91
B91/640	SITE PAINTING AND STAINING	B91
B91/645	MAKING GOOD GALVANIZED SURFACES	B91
B91/650	MAKING GOOD TREATED TIMBER	B91
B91/930	DOCUMENTATION	B91
C	DEMOLITION/ ALTERATION/ RENOVATION
C10	SITE SURVEY	C
C10/115	PRELIMINARY SURVEY	C10
C10/125	SITE SURVEY -	C10
C10/135	ASSESSMENT SURVEY	C10
C10/145	ECOLOGICAL SURVEY	C10
C10/155	ARBORICULTURAL SURVEY	C10
C10/165	INVASIVE SPECIES SURVEY	C10
C10/210	DESK STUDY	C10
C10/215	SITE RECONNAISSANCE	C10
C10/225	DIRECT MEASUREMENT SURVEYING	C10
C10/235	ELECTRICAL RESISTIVITY MEASUREMENT	C10
C10/245	GLOBAL POSITIONING SYSTEM (GPS)	C10
C10/255	GROUND PENETRATING RADAR (GPR)	C10
C10/265	LIGHT DETECTION AND RANGING (LIDAR)	C10
C10/275	MAGNETOMETRY	C10
C10/280	PHOTOGRAMMETRY	C10
C10/410	BENCH MARKS	C10
C10/420	UNFORESEEN HAZARDS	C10
C10/430	SURVEY INSTRUMENTS	C10
C10/440	PROTECTION	C10
C10/910	DOCUMENTATION – PAPER	C10
C10/915	DOCUMENTATION – ELECTRONIC	C10
C10/920	PRESENTATION TO ACCOMPANY SURVEY REPORT	C10
C10/925	PRELIMINARY SURVEY REPORT	C10
C10/935	SITE SURVEY REPORT	C10
C10/945	ASSESSMENT SURVEY REPORT	C10
C10/955	ECOLOGICAL SURVEY REPORT	C10
C10/965	ARBORICULTURAL SURVEY REPORT	C10
C10/975	INVASIVE SPECIES SURVEY REPORT	C10
C11	SITE INVESTIGATION	C
C11/110	EXTENT OF INVESTIGATION	C11
C11/112	MONITORING OF GROUND CONDITIONS DURING CONSTRUCTION	C11
C11/115	GEOTECHNICAL ADVISER	C11
C11/120	PRELIMINARY WORK BY OTHERS	C11
C11/125	GEOLOGY AND GROUND CONDITIONS	C11
C11/130	BACKGROUND INFORMATION SOURCES	C11
C11/140	ACCESS TO THE SITE	C11
C11/150	PUBLIC SAFETY	C11
C11/160	SITE SAFETY	C11
C11/170	SURVEY INSTRUMENTS	C11
C11/180	COMPETENCE	C11
C11/190	PROTECTION	C11
C11/205	PRESENTATION OF DATA AND INFORMATION	C11
C11/210	DESK STUDY	C11
C11/220	SITE RECONNAISSANCE	C11
C11/230	DETAILED EXAMINATION/ SPECIAL STUDY	C11
C11/240	GROUND INVESTIGATION	C11
C11/242	CONTRACTOR DESIGNED GROUND INVESTIGATION	C11
C11/246	TOLERANCE ON POSITION OF EXPLORATORY HOLES	C11
C11/248	QUALITY OF GROUND INVESTIGATION	C11
C11/250	TRIAL PITS AND TRENCHES	C11
C11/260	OBSERVATION PITS AND TRENCHES	C11
C11/265	SUBSTRUCTURE INSPECTION PITS	C11
C11/270	BOREHOLES	C11
C11/271	COMPLETION OF BOREHOLES	C11
C11/272	ROTARY DRILLING	C11
C11/275	INFORMATION	C11
C11/280	IN SITU SOIL TESTS	C11
C11/290	PERMEABILITY TESTS	C11
C11/300	GEOPHYSICAL TESTS	C11
C11/310	SPECIAL TESTS	C11
C11/314	TELEVISION SURVEY OF BOREHOLES	C11
C11/320	SOIL AND GROUNDWATER SAMPLING	C11
C11/322	SPECIAL SAMPLING AND SPT TESTING IN BOREHOLES	C11
C11/324	SPECIAL SAMPLING IN PITS AND TRENCHES	C11
C11/325	BLOCK SAMPLING	C11
C11/327	SAMPLING FOR CONTAMINATION TESTING	C11
C11/329	GAS SAMPLING	C11
C11/330	FIELD REPORTS AND BOREHOLE LOGS	C11
C11/340	GROUNDWATER MONITORING	C11
C11/344	GAS MONITORING	C11
C11/350	LABORATORY TESTS FOR MECHANICAL PROPERTIES OF SOILS	C11
C11/355	LABORATORY TESTS FOR MECHANICAL PROPERTIES OF ROCK	C11
C11/360	LABORATORY TESTS FOR CHEMICAL PROPERTIES OF SOILS AND WATER	C11
C11/370	INTERPRETATIVE REPORT	C11
C11/380	FACTUAL REPORT	C11
C12	UNDERGROUND SERVICES SURVEY	C
C12/110	EXTENT OF SURVEY	C12
C12/120	PRELIMINARY WORK BY OTHERS	C12
C12/140	BACKGROUND INFORMATION SOURCES	C12
C12/150	ACCESS TO THE SITE	C12
C12/160	UNFORESEEN HAZARDS	C12
C12/170	SURVEY INSTRUMENTS	C12
C12/180	WORKMANSHIP	C12
C12/190	SAFETY OF THIRD PARTIES	C12
C12/200	DATA COLLECTION	C12
C12/610	DESK STUDY	C12
C12/620	UNDERGROUND SERVICES SURVEY	C12
C12/630	ANCILLARY WORK TO SURVEY	C12
C12/640	PROTECTION	C12
C12/810	SURVEY REPORT	C12
C14	ENGINEERING SERVICES SURVEY	C
C14/110	EXTENT OF SURVEY	C14
C14/120	PRELIMINARY WORK BY OTHERS	C14
C14/130	BACKGROUND INFORMATION	C14
C14/140	ACCESS TO THE SITE	C14
C14/150	ACCESS TO PARTICULAR PLANT AREAS	C14
C14/160	SITE RESTRICTIONS AND CONSTRAINTS	C14
C14/170	UNFORESEEN HAZARDS	C14
C14/175	SAFETY OF THIRD PARTIES	C14
C14/180	TEST INSTRUMENTS	C14
C14/185	SURVEYORS	C14
C14/190	DATA COLLECTION	C14
C14/195	PICTORIAL RECORD	C14
C14/210	DESK STUDY	C14
C14/215	PILOT SURVEY	C14
C14/220	SYSTEM SURVEYS GENERALLY	C14
C14/225	INCOMING WATER SUPPLY CONNECTION SURVEY	C14
C14/230	HOT AND COLD WATER SUPPLY SYSTEMS SURVEY	C14
C14/235	FOUNTAINS AND WATER FEATURES SURVEY	C14
C14/240	GREY WATER RECLAMATION SYSTEMS SURVEY	C14
C14/245	RAINWATER RECLAMATION SYSTEMS SURVEY	C14
C14/250	SWIMMING POOL WATER TREATMENT SYSTEMS SURVEY	C14
C14/255	MEDICAL GAS SUPPLY SYSTEMS SURVEY	C14
C14/260	MEDICAL VACUUM SYSTEMS SURVEY	C14
C14/265	MEDICAL ANAESTHETIC GAS SCAVENGING SYSTEMS SURVEY	C14
C14/270	COMPRESSED AIR SUPPLY SYSTEMS SURVEY	C14
C14/275	INSTRUMENT AIR SUPPLY SYSTEMS SURVEY	C14
C14/280	NATURAL GAS SUPPLY CONNECTION SURVEY	C14
C14/285	LIQUEFIED PETROLEUM GAS SUPPLY SYSTEMS SURVEY	C14
C14/290	LABORATORY GAS SUPPLY SYSTEMS SURVEY	C14
C14/295	BIOGAS SUPPLY SYSTEMS SURVEY	C14
C14/300	PETROL AND DIESEL SUPPLY SYSTEMS SURVEY	C14
C14/305	FUEL OIL SUPPLY SYSTEMS SURVEY	C14
C14/310	LIQUID BIOFUEL SUPPLY SYSTEMS SURVEY	C14
C14/315	STEAM AND CONDENSATE SYSTEMS SURVEY	C14
C14/320	FIRE HOSE REEL SYSTEMS SURVEY	C14
C14/325	DRY RISER SYSTEMS SURVEY	C14
C14/330	WET RISER SYSTEMS SURVEY	C14
C14/335	SPRINKLER SYSTEMS SURVEY	C14
C14/340	DELUGE SYSTEMS SURVEY	C14
C14/345	FIRE HYDRANT SYSTEMS SURVEY	C14
C14/350	WATER MIST SYSTEMS SURVEY	C14
C14/355	GASEOUS FIRE-EXTINGUISHING SYSTEMS SURVEY	C14
C14/360	FOAM FIRE-FIGHTING SYSTEMS SURVEY	C14
C14/365	HEATING SYSTEMS SURVEY	C14
C14/370	COMBINED HEAT AND POWER SYSTEMS SURVEY	C14
C14/375	HEAT PUMP SYSTEMS SURVEY	C14
C14/380	COOLING SYSTEMS SURVEY	C14
C14/385	COLD ROOM SYSTEMS SURVEY	C14
C14/390	GENERAL MECHANICAL VENTILATION SYSTEMS SURVEY	C14
C14/395	KITCHEN EXTRACT SYSTEMS SURVEY	C14
C14/400	CAR PARK VENTILATION SYSTEMS SURVEY	C14
C14/405	SMOKE AND HEAT CONTROL SYSTEMS SURVEY	C14
C14/410	SAFETY CABINET AND FUME CUPBOARD EXTRACT SYSTEMS SURVEY	C14
C14/415	INDUSTRIAL FUME EXTRACT SYSTEMS SURVEY	C14
C14/420	HIGH VOLTAGE CONNECTION SURVEY	C14
C14/425	HIGH VOLTAGE DISTRIBUTION SYSTEMS SURVEY	C14
C14/430	LOW VOLTAGE CONNECTION SURVEY	C14
C14/435	GENERATOR SYSTEMS SURVEY	C14
C14/440	LOW VOLTAGE DISTRIBUTION SYSTEMS SURVEY	C14
C14/445	SMALL POWER SYSTEMS SURVEY	C14
C14/450	EARTHING AND BONDING SYSTEMS SURVEY	C14
C14/455	GENERAL LIGHTING SYSTEMS SURVEY	C14
C14/460	EMERGENCY LIGHTING SYSTEMS SURVEY	C14
C14/463	EXTERNAL LIGHTING SYSTEMS SURVEY	C14
C14/465	PUBLIC ADDRESS SYSTEMS SURVEY	C14
C14/470	INDUCTION LOOP SYSTEMS SURVEY	C14
C14/475	INFRARED LISTENING SYSTEMS SURVEY	C14
C14/480	INCOMING TELECOMMUNICATIONS CONNECTION SURVEY	C14
C14/483	TELECOMMUNICATIONS SYSTEM SURVEY	C14
C14/485	DATA DISTRIBUTION SYSTEMS SURVEY	C14
C14/487	TELEVISION AND RADIO DISTRIBUTION SYSTEMS SURVEY	C14
C14/490	ACCESS CONTROL SYSTEMS SURVEY	C14
C14/493	INTRUDER DETECTION AND ALARM SYSTEMS SURVEY	C14
C14/495	CLOSED CIRCUIT TELEVISION SYSTEMS SURVEY	C14
C14/500	FIRE DETECTION AND ALARM SYSTEM SURVEY	C14
C14/503	VOICE ALARM SYSTEMS SURVEY	C14
C14/505	ASSISTANCE CALL SYSTEMS SURVEY	C14
C14/510	PATIENT CALL SYSTEMS SURVEY	C14
C14/515	GAS DETECTION AND ALARM SYSTEMS SURVEY	C14
C14/520	WATER LEAK DETECTION AND ALARM SYSTEMS SURVEY	C14
C14/525	LIGHTNING PROTECTION SYSTEM SURVEY	C14
C14/530	LIFTS SURVEY	C14
C14/535	ESCALATORS AND MOVING WALK SYSTEMS SURVEY	C14
C14/540	PLANT SPACE SURVEYS	C14
C14/810	SURVEY REPORT	C14
C20	DEMOLITION	C
C20/110	DESK STUDY/ SURVEY	C20
C20/120	EXTENT OF DECONSTRUCTION/ DEMOLITION	C20
C20/130	GROUNDWORKS	C20
C20/140	BENCH MARKS	C20
C20/150	FEATURES TO BE RETAINED	C20
C20/210	SERVICES REGULATIONS	C20
C20/220	LOCATION OF SERVICES	C20
C20/230	SERVICES DISCONNECTION ARRANGED BY CONTRACTOR	C20
C20/231	SERVICES DISCONNECTION ARRANGED BY EMPLOYER	C20
C20/232	SERVICES DISCONNECTION ARRANGED BY EMPLOYER AND CONTRACTOR	C20
C20/240	DISCONNECTION OF DRAINS	C20
C20/250	LIVE FOUL AND SURFACE WATER DRAINS	C20
C20/260	SERVICE BYPASS CONNECTIONS	C20
C20/270	SERVICES TO BE RETAINED	C20
C20/310	WORKMANSHIP	C20
C20/320	GAS OR VAPOUR RISKS	C20
C20/330	DUST CONTROL	C20
C20/340	HEALTH HAZARDS	C20
C20/350	ADJOINING PROPERTY	C20
C20/360	STRUCTURES TO BE RETAINED	C20
C20/370	PARTLY DEMOLISHED STRUCTURES	C20
C20/380	DANGEROUS OPENINGS	C20
C20/390	ASBESTOS-CONTAINING MATERIALS – KNOWN OCCURENCES	C20
C20/391	ASBESTOS-CONTAINING MATERIALS – KNOWN OCCUREANCES	C20
C20/410	UNFORSEEN HAZARDS	C20
C20/420	OPEN BASEMENTS, ETC	C20
C20/430	FILLING OF BASEMENTS, ETC	C20
C20/442	SITE SURFACE AT COMPLETION	C20
C20/450	SITE CONDITION AT COMPLETION	C20
C20/510	CONTRACTOR’S PROPERTY	C20
C20/511	EMPLOYER’S PROPERTY	C20
C20/520	RECYCLED MATERIALS	C20
C30	SHORING/ FACADE RETENTION	C
C30/110	TERMS USED IN FAÇADE RETENTION	C30
C30/120	RETENTION STRUCTURE GENERALLY	C30
C30/130	RAKING SHORES	C30
C30/140	FLYING SHORES	C30
C30/150	RETENTION STRUCTURE	C30
C30/160	STRUCTURAL STEEL SPECIFICATION STANDARD	C30
C30/170	CONCRETE	C30
C30/180	TEMPORARY WORKS CO-ORDINATOR	C30
C30/210	RETENTION STRUCTURE - CONTRACTOR DESIGNED	C30
C30/215	RETENTION STRUCTURE - DESIGN PROVIDED	C30
C30/220	RESPONSIBILITY - ADVANCE WORKS CONTRACT	C30
C30/240	ADVANCE WORKS RETENTION STRUCTURE - ADOPTION	C30
C30/250	RETENTION STRUCTURE - USE OF PERMANENT STRUCTURE	C30
C30/260	ACCESS TO FAÇADE	C30
C30/270	FOUNDATIONS FOR RETENTION STRUCTURE	C30
C30/280	CONNECTIONS BETWEEN FAÇADE AND SUPPORT STRUCTURE	C30
C30/360	THERMAL RANGE AND PREDICTED FAÇADE MOVEMENTS	C30
C30/370	PREDICTED FAÇADE FOUNDATION MOVEMENTS	C30
C30/380	STABILITY LOADS	C30
C30/385	LOADS ON CONNECTIONS	C30
C30/410	STRUCTURAL STEEL	C30
C30/420	STRUCTURAL TIMBER	C30
C30/430	SCAFFOLDING AND ACCESSORIES	C30
C30/435	TIMBER SCAFFOLD BOARDS	C30
C30/460	BONDED ANCHORS	C30
C30/470	THREADED STEEL STUDDING	C30
C30/480	LOADBEARING TIMBER WEDGES/ PACKS	C30
C30/600	WORKMANSHIP	C30
C30/640	ENABLING WORK	C30
C30/650	FOUNDATIONS	C30
C30/655	RETAINING WALLS	C30
C30/660	ERECTING RETENTION STRUCTURE	C30
C30/670	UNFORESEEN HAZARDS	C30
C30/680	BONDED ANCHORS	C30
C30/690	PLANNED MODIFICATIONS TO RETENTION STRUCTURE	C30
C30/710	RETENTION STRUCTURE MAINTENANCE	C30
C30/720	FAÇADE MAINTENANCE	C30
C30/770	MAINTENANCE CERTIFICATES	C30
C30/910	DISMANTLING RETENTION STRUCTURE	C30
